###=============================================================================================
# Coilaco-, Guampoe & Trancura river individual predation event data,
# used in the Gilljam et al AER v.45 chapter.
# 
# CSV-format:
# [Predator ID] [Predator Unique ID] [Predator mass] [Prey ID] [Prey mass] [Locality] [Season]
#
# Note that individual predators can have several prey, ie be represented on several rows,
# having the same Predator Unique ID.
#
# Some predation events lacked data about prey in the original data set. These events are removed.
#
# Data originally from 	David Figueroa
# Reformatted by		David Gilljam (david.gilljam@liu.se)
###=============================================================================================

"","predID","predUniqueID","predMass","preyID","preyMass","locality","season"
"1","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.756001",0.756001,"Copepod (harpacticoideo)",4.2e-05,"Coilaco",NA
"2","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 1.259382",1.259382,"Deceptiviosa torrens (Lugo-Ortiz & McCafferty)",0.088381,"Coilaco",NA
"3","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 1.259382",1.259382,"Udamocercia sp (Enderlein)",0.135167,"Coilaco",NA
"4","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 1.259382",1.259382,"Antarctoperla michaelseni (Klapalek)",0.112542,"Coilaco",NA
"5","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 1.259382",1.259382,"Orthocladius sp2",0.121855,"Coilaco",NA
"6","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 1.259382",1.259382,"Antarctoperla michaelseni (Klapalek)",0.174541,"Coilaco",NA
"7","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 1.259382",1.259382,"Eukiefierella sp",0.126807,"Coilaco",NA
"8","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 28.141613",28.141613,"Eosericostoma sp",0.80848,"Coilaco",NA
"9","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.225983",0.225983,"Andesiops peruviana (Ulmer)",0.088381,"Coilaco",NA
"10","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.225983",0.225983,"Thienemaniella sp",0.012519,"Coilaco",NA
"11","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.225983",0.225983,"Orthocladius sp1",0.000421,"Coilaco",NA
"12","Kempnyella genuali","Kempnyella genuali 1.784998",1.784998,"Eukiefierella sp",0.007439,"Coilaco",NA
"13","Kempnyella genuali","Kempnyella genuali 1.784998",1.784998,"Orthocladius sp1",0.000724,"Coilaco",NA
"14","Diamphipnoa sp (Gerstaecker)","Diamphipnoa sp (Gerstaecker) 0.051793",0.051793,"Eukiefierella sp",1.7e-05,"Coilaco",NA
"15","Diamphipnoa sp (Gerstaecker)","Diamphipnoa sp (Gerstaecker) 0.48218",0.48218,"Smicridea chilensis (Navás)",0.019793,"Coilaco",NA
"16","Kempnyella genuali","Kempnyella genuali 0.121474",0.121474,"Orthocladius sp1",3.3e-05,"Coilaco",NA
"17","Kempnyella genuali","Kempnyella genuali 1.133315",1.133315,"Brachycentridae Gen. Sp",0.142329,"Coilaco",NA
"18","Kempnyella genuali","Kempnyella genuali 1.133315",1.133315,"Orthocladius sp1",0.169869,"Coilaco",NA
"19","Kempnyella genuali","Kempnyella genuali 1.133315",1.133315,"Deceptiviosa torrens (Lugo-Ortiz & McCafferty)",0.011254,"Coilaco",NA
"20","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 19.781246",19.781246,"Andesiops peruviana (Ulmer)",0.025474,"Coilaco",NA
"21","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 19.781246",19.781246,"Penaphlebia sp (Eaton)",0.116733,"Coilaco",NA
"22","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 19.781246",19.781246,"Orthocladius sp3",0.169869,"Coilaco",NA
"23","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 19.781246",19.781246,"Orthocladius sp1",0.089492,"Coilaco",NA
"24","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 19.781246",19.781246,"Orthocladius sp1",0.010676,"Coilaco",NA
"25","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 19.781246",19.781246,"Andesiops peruviana (Ulmer)",0.229345,"Coilaco",NA
"26","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 19.781246",19.781246,"Nousia delicata (Navás)",7.623407,"Coilaco",NA
"27","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 19.781246",19.781246,"Thienemaniella sp",0.213369,"Coilaco",NA
"28","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 1.733646",1.733646,"Udamocercia sp (Enderlein)",0.07718,"Coilaco",NA
"29","Chiloporter penai (Demoulin)","Chiloporter penai (Demoulin) 1.733646",1.733646,"Orthocladius sp1",0.169869,"Coilaco",NA
"30","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 1.159642",1.159642,"Deceptiviosa torrens (Lugo-Ortiz & McCafferty)",0.159781,"Coilaco",NA
"31","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.178461",0.178461,"Andesiops peruviana (Ulmer)",0.003438,"Coilaco",NA
"32","Ceratoperla schwabei (Illies)","Ceratoperla schwabei (Illies) 0.082075",0.082075,"Orthocladius sp1",0.002633,"Coilaco",NA
"33","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 3.897018",3.897018,"Andesiops peruviana (Ulmer)",0.003438,"Coilaco",NA
"34","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 3.897018",3.897018,"Orthocladius sp1",0.15931,"Coilaco",NA
"35","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 3.005637",3.005637,"Orthocladius sp3",0.134216,"Coilaco",NA
"36","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 3.005637",3.005637,"Senzilloides panguipulli (Navás)",0.611201,"Coilaco",NA
"37","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 1.932944",1.932944,"Orthocladius sp1",0.089492,"Coilaco",NA
"38","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 1.037147",1.037147,"Orthocladius sp1",0.332407,"Coilaco",NA
"39","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.756001",0.756001,"Orthocladius sp1",7.9e-05,"Coilaco",NA
"40","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.599087",0.599087,"Limnoperla jaffueli (Navás)",3.2e-05,"Coilaco",NA
"41","Brachycentridae Gen. Sp","Brachycentridae Gen. Sp 0.557152",0.557152,"Andesiops peruviana (Ulmer)",0.36993,"Coilaco",NA
"42","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.043262",0.043262,"Orthocladius sp1",0.087427,"Coilaco",NA
"43","Rhyacophilida Gen sp1","Rhyacophilida Gen sp1 0.043262",0.043262,"Thienemaniella sp",0.032596,"Coilaco",NA
"44","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 26.543515",26.543515,"Orthocladius sp1",0.013944,"Coilaco",NA
"45","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 26.543515",26.543515,"Thienemaniella sp",0.030796,"Coilaco",NA
"46","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 26.543515",26.543515,"Orthocladius sp1",0.047543,"Coilaco",NA
"47","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 26.543515",26.543515,"Andesiops peruviana (Ulmer)",0.026427,"Coilaco",NA
"48","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 26.543515",26.543515,"Glossomatidae Gen. Sp",0.083427,"Coilaco",NA
"49","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 26.543515",26.543515,"Orthocladius sp1",0.25989,"Coilaco",NA
"50","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 26.543515",26.543515,"Orthocladius sp3",0.029153,"Coilaco",NA
"51","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 26.543515",26.543515,"Eukiefierella sp",0.016764,"Coilaco",NA
"52","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.48575",0.48575,"Thienemaniella sp",7.3e-05,"Coilaco",NA
"53","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.48575",0.48575,"Brachycentridae Gen. Sp",0.000737,"Coilaco",NA
"54","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.105133",0.105133,"Orthocladius sp1",0.001939,"Coilaco",NA
"55","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.105133",0.105133,"Orthocladius sp1",7.3e-05,"Coilaco",NA
"56","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.105133",0.105133,"Eukiefierella sp",0.000724,"Coilaco",NA
"57","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.105133",0.105133,"Udamocercia sp (Enderlein)",0.191468,"Coilaco",NA
"58","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.179291",0.179291,"Orthocladius sp1",0.041754,"Coilaco",NA
"59","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.179291",0.179291,"Glossomatidae Gen. Sp",0.000552,"Coilaco",NA
"60","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.139141",0.139141,"Orthocladius sp1",0.001125,"Coilaco",NA
"61","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.246579",0.246579,"Oligochaeta",0.108376,"Coilaco",NA
"62","Pictetoperla gayi (Pictet)","Pictetoperla gayi (Pictet) 0.246579",0.246579,"Orthocladius sp1",0.003925,"Coilaco",NA
"63","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.480398",0.480398,"Tvetenia c.f. calvecens",0.000212,"Coilaco",NA
"64","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.480398",0.480398,"Massartellopsis sp (Demoulin)",7.6e-05,"Coilaco",NA
"65","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.279477",0.279477,"Meridialaris diguillina (Demoulin)",0.000171,"Coilaco",NA
"66","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.364612",0.364612,"Glossomatidae Gen. Sp",1e-06,"Coilaco",NA
"67","Smicridea chilensis (Navás)","Smicridea chilensis (Navás) 0.081468",0.081468,"Meridialaris diguillina (Demoulin)",0.079071,"Coilaco",NA
"68","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.899731",0.899731,"Antarctoperla michaelseni (Klapalek)",0.149948,"Coilaco",NA
"69","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.899731",0.899731,"Thienemaniella sp",0.137617,"Coilaco",NA
"70","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.899731",0.899731,"Aubertoperla sp (Illies)",0.032818,"Coilaco",NA
"71","Rhyacophilida Gen sp3","Rhyacophilida Gen sp3 0.899731",0.899731,"Orthocladius sp1",7.9e-05,"Coilaco",NA
